C,Tick,D,O,H,L,A,V
2.23,1764604800,2025-12-02 00:00:00,2.258,2.266,2.22,1666479000,7445790
2.266,1764518400,2025-12-01 00:00:00,2.254,2.278,2.214,2400844000,10699060
2.25,1764259200,2025-11-28 00:00:00,2.207,2.259,2.195,2287170000,10239020
2.222,1764172800,2025-11-27 00:00:00,2.238,2.296,2.215,3542551000,15674160
2.22,1764086400,2025-11-26 00:00:00,2.16,2.24,2.149,3720301000,16834360
2.171,1764000000,2025-11-25 00:00:00,2.176,2.21,2.16,3039122000,13935630
2.15,1763913600,2025-11-24 00:00:00,2.151,2.172,2.107,2688707000,12571680
2.141,1763654400,2025-11-21 00:00:00,2.199,2.21,2.14,3269323000,15069700
2.239,1763568000,2025-11-20 00:00:00,2.3,2.306,2.235,2476108000,10972140
2.266,1763481600,2025-11-19 00:00:00,2.279,2.306,2.254,2605498000,11433100
2.286,1763395200,2025-11-18 00:00:00,2.251,2.324,2.249,3175006000,13847940
2.26,1763308800,2025-11-17 00:00:00,2.264,2.309,2.242,2236699000,9847148
2.267,1763049600,2025-11-14 00:00:00,2.305,2.322,2.266,2582453000,11283700
2.339,1762963200,2025-11-13 00:00:00,2.3,2.35,2.281,2542524000,10938770
2.306,1762876800,2025-11-12 00:00:00,2.295,2.32,2.267,2346526000,10244230
2.312,1762790400,2025-11-11 00:00:00,2.374,2.397,2.306,2436446000,10386790
2.358,1762704000,2025-11-10 00:00:00,2.385,2.408,2.312,3024463000,12860600
2.383,1762444800,2025-11-07 00:00:00,2.381,2.416,2.368,2495064000,10444940
2.417,1762358400,2025-11-06 00:00:00,2.351,2.425,2.342,4874169000,20414980
2.313,1762272000,2025-11-05 00:00:00,2.266,2.327,2.265,2880001000,12573590
2.324,1762185600,2025-11-04 00:00:00,2.347,2.377,2.306,2946989000,12571680
2.34,1762099200,2025-11-03 00:00:00,2.338,2.342,2.278,3838513000,16576640
2.375,1761840000,2025-10-31 00:00:00,2.473,2.474,2.374,4516894000,18797550
2.481,1761753600,2025-10-30 00:00:00,2.526,2.543,2.48,3923641000,15648110
2.531,1761667200,2025-10-29 00:00:00,2.514,2.563,2.49,4006974000,15888350
2.519,1761580800,2025-10-28 00:00:00,2.516,2.56,2.498,3765180000,14885650
2.549,1761494400,2025-10-27 00:00:00,2.563,2.565,2.491,5218061000,20610060
2.5,1761235200,2025-10-24 00:00:00,2.5,2.5,2.5,5822670000,23659770
2.372,1761148800,2025-10-23 00:00:00,2.365,2.378,2.328,2889001000,12300660
2.389,1761062400,2025-10-22 00:00:00,2.356,2.428,2.333,3620042000,15227590
2.387,1760976000,2025-10-21 00:00:00,2.325,2.396,2.309,4371600000,18516300
2.313,1760889600,2025-10-20 00:00:00,2.35,2.377,2.292,3777908000,16164950
2.303,1760630400,2025-10-17 00:00:00,2.386,2.395,2.296,5065299000,21712500
2.403,1760544000,2025-10-16 00:00:00,2.403,2.456,2.389,3557538000,14701410
2.426,1760457600,2025-10-15 00:00:00,2.381,2.432,2.349,4275066000,17870720
2.394,1760371200,2025-10-14 00:00:00,2.554,2.563,2.369,6325568000,25702960
2.527,1760284800,2025-10-13 00:00:00,2.358,2.532,2.358,6143450000,24709500
2.469,1760025600,2025-10-10 00:00:00,2.571,2.595,2.447,7095827000,28272560
2.646,1759939200,2025-10-09 00:00:00,2.63,2.756,2.616,5804478000,21699650
2.565,1759161600,2025-09-30 00:00:00,2.543,2.592,2.518,4257216000,16615220
2.515,1759075200,2025-09-29 00:00:00,2.46,2.518,2.412,3961231000,16061630
2.465,1758816000,2025-09-26 00:00:00,2.47,2.53,2.453,3712200000,14903620
2.495,1758729600,2025-09-25 00:00:00,2.464,2.52,2.451,4222992000,16953100
2.481,1758643200,2025-09-24 00:00:00,2.358,2.54,2.352,6137303000,25061120
2.377,1758556800,2025-09-23 00:00:00,2.365,2.387,2.291,5363696000,22932130
2.367,1758470400,2025-09-22 00:00:00,2.244,2.39,2.232,5109169000,21992120
2.256,1758211200,2025-09-19 00:00:00,2.309,2.335,2.248,3988660000,17397560
2.307,1758124800,2025-09-18 00:00:00,2.288,2.399,2.233,6594290000,28441890
2.258,1758038400,2025-09-17 00:00:00,2.213,2.277,2.177,3668809000,16368860
2.223,1757952000,2025-09-16 00:00:00,2.195,2.245,2.195,4209770000,18916610
2.188,1757865600,2025-09-15 00:00:00,2.244,2.251,2.164,3324174000,15130780
2.181,1757606400,2025-09-12 00:00:00,2.131,2.225,2.12,4601288000,21064650
2.14,1757520000,2025-09-11 00:00:00,1.981,2.15,1.971,4867275000,23394440
1.99,1757433600,2025-09-10 00:00:00,1.975,2.018,1.964,2779266000,13949720
1.955,1757347200,2025-09-09 00:00:00,1.962,2.003,1.946,2405145000,12201620
1.992,1757260800,2025-09-08 00:00:00,1.995,2.006,1.946,2576002000,13008440
2.009,1757001600,2025-09-05 00:00:00,1.945,2.026,1.919,3567788000,18127070
1.94,1756915200,2025-09-04 00:00:00,2.099,2.109,1.91,5448309000,27405900
2.108,1756828800,2025-09-03 00:00:00,2.139,2.168,2.095,3642074000,17102890
