序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度,年份
1,688981,中芯国际,10.58,62.76,2581.86,2022年4季度股票投资明细,2022
2,688012,中微公司,9.97,24.82,2432.44,2022年4季度股票投资明细,2022
3,688008,澜起科技,9.83,38.32,2398.53,2022年4季度股票投资明细,2022
4,688396,华润微,6.55,30.38,1599.43,2022年4季度股票投资明细,2022
5,688099,晶晨股份,4.81,16.64,1173.27,2022年4季度股票投资明细,2022
6,688126,沪硅产业,4.48,62.06,1092.8,2022年4季度股票投资明细,2022
7,688385,复旦微电,4.36,15.23,1063.03,2022年4季度股票投资明细,2022
8,688536,思瑞浦,3.86,3.42,941.24,2022年4季度股票投资明细,2022
9,688002,睿创微纳,3.13,20.51,762.75,2022年4季度股票投资明细,2022
10,688200,华峰测控,2.95,2.6,719.43,2022年4季度股票投资明细,2022
11,688521,芯原股份,2.58,14.3,630.36,2022年4季度股票投资明细,2022
12,688256,寒武纪,2.58,11.54,629.48,2022年4季度股票投资明细,2022
13,688052,纳芯微,2.25,1.73,549.73,2022年4季度股票投资明细,2022
14,688072,拓荆科技,1.95,2.19,475.46,2022年4季度股票投资明细,2022
15,688608,恒玄科技,1.9,4.07,464.44,2022年4季度股票投资明细,2022
16,688019,安集科技,1.88,2.55,459.77,2022年4季度股票投资明细,2022
17,688037,芯源微,1.68,2.61,408.95,2022年4季度股票投资明细,2022
18,688596,正帆科技,1.5,10.8,366.66,2022年4季度股票投资明细,2022
19,688123,聚辰股份,1.43,3.45,349.37,2022年4季度股票投资明细,2022
20,688106,金宏气体,1.28,16.61,311.52,2022年4季度股票投资明细,2022
21,688728,格科微,1.24,17.25,302.58,2022年4季度股票投资明细,2022
22,688798,艾为电子,1.13,2.88,274.94,2022年4季度股票投资明细,2022
23,688508,芯朋微,1.04,3.91,253.19,2022年4季度股票投资明细,2022
24,688018,乐鑫科技,1.03,2.8,252.2,2022年4季度股票投资明细,2022
25,688048,长光华芯,0.93,2.34,226.49,2022年4季度股票投资明细,2022
26,688766,普冉股份,0.91,1.46,222.36,2022年4季度股票投资明细,2022
27,688270,臻镭科技,0.89,1.87,216.34,2022年4季度股票投资明细,2022
28,688110,东芯股份,0.82,7.65,200.09,2022年4季度股票投资明细,2022
29,688595,芯海科技,0.81,4.89,196.65,2022年4季度股票投资明细,2022
30,688233,神工股份,0.77,4.58,186.77,2022年4季度股票投资明细,2022
31,688082,盛美上海,0.74,2.25,179.54,2022年4季度股票投资明细,2022
32,688107,安路科技,0.73,2.78,178.67,2022年4季度股票投资明细,2022
33,688262,国芯科技,0.71,4.12,172.42,2022年4季度股票投资明细,2022
34,688234,天岳先进,0.71,2.21,172.28,2022年4季度股票投资明细,2022
35,688268,华特气体,0.63,2.07,153.8,2022年4季度股票投资明细,2022
36,688025,杰普特,0.59,3.23,143.46,2022年4季度股票投资明细,2022
37,688313,仕佳光子,0.59,15.83,143.28,2022年4季度股票投资明细,2022
38,688279,峰岹科技,0.56,1.59,137.11,2022年4季度股票投资明细,2022
39,688220,翱捷科技,0.54,2.17,131.96,2022年4季度股票投资明细,2022
40,688368,晶丰明源,0.51,1.12,125.06,2022年4季度股票投资明细,2022
41,688601,力芯微,0.48,2.07,116.64,2022年4季度股票投资明细,2022
42,688699,明微电子,0.47,2.52,115.74,2022年4季度股票投资明细,2022
43,688259,创耀科技,0.43,1.39,104.36,2022年4季度股票投资明细,2022
44,688661,和林微纳,0.38,1.55,93.36,2022年4季度股票投资明细,2022
45,688001,华兴源创,0.34,3.04,81.86,2022年4季度股票投资明细,2022
46,688153,唯捷创芯,0.28,1.86,68.34,2022年4季度股票投资明细,2022
47,688206,概伦电子,0.26,2.25,63.22,2022年4季度股票投资明细,2022
48,688049,炬芯科技,0.23,2.12,57.31,2022年4季度股票投资明细,2022
