序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值比例,持股数(万股),持仓市值(万元)
1,688012,中微公司,268.10,0.90%,变动详情 股吧 行情,10.82%,100.94,30,179.51
2,688120,华海清科,135.00,3.84%,变动详情 股吧 行情,10.26%,173.27,28,623.63
3,688072,拓荆科技,303.30,4.59%,变动详情 股吧 行情,9.87%,105.80,27,526.06
4,688126,沪硅产业,21.19,2.57%,变动详情 股吧 行情,9.09%,982.82,25,356.69
5,688019,安集科技,201.80,5.26%,变动详情 股吧 行情,7.30%,89.16,20,366.66
6,688361,中科飞测,121.46,5.48%,变动详情 股吧 行情,7.06%,169.84,19,706.09
7,688037,芯源微,125.09,4.30%,变动详情 股吧 行情,6.52%,122.00,18,178.48
8,688082,盛美上海,157.88,1.67%,变动详情 股吧 行情,4.83%,66.77,13,475.17
9,688200,华峰测控,170.30,1.99%,变动详情 股吧 行情,4.58%,61.39,12,787.08
10,688234,天岳先进,88.64,6.04%,变动详情 股吧 行情,3.82%,129.83,10,666.45
11*,688549,中巨芯,9.34,1.52%,变动详情 股吧 行情,1.59%,446.19,4,426.21
12*,688233,神工股份,68.62,3.91%,变动详情 股吧 行情,1.40%,77.10,3,914.49
13*,688432,有研硅,12.54,0.64%,变动详情 股吧 行情,1.39%,283.64,3,871.69
14*,688605,先锋精科,58.25,0.87%,变动详情 股吧 行情,0.81%,30.63,2,273.48
15*,688721,龙图光罩,42.56,0.33%,变动详情 股吧 行情,0.39%,20.20,1,086.82
16*,688419,耐科装备,27.04,1.31%,变动详情 股吧 行情,0.29%,25.81,815.05
